title,description,skills,company_name,location,min_salary,max_salary,formatted_work_type,remote_allowed,formatted_experience_level,applies
Marketing Coordinator,"Job descriptionA leading real estate firm in New Jersey is seeking an administrative Marketing Coordinator with some experience in graphic design. You will be working closely with our fun, kind, ambitious members of the sales team and our dynamic executive team on a daily basis. This is an opportunity to be part of a fast-growing, highly respected real estate brokerage with a reputation for exceptional marketing and extraordinary culture of cooperation and inclusion.Who you are:You must be a well-organized, creative, proactive, positive, and most importantly, kind-hearted person. Please, be responsible, respectful, and cool-under-pressure. Please, be proficient in Adobe Creative Cloud (Indesign, Illustrator, Photoshop) and Microsoft Office Suite. Above all, have fantastic taste and be a good-hearted, fun-loving person who loves working with people and is eager to learn.Role:Our office is a fast-paced environment. You’ll work directly with a Marketing team and communicate daily with other core staff and our large team of agents. This description is a brief overview, but your skills and interests will be considered in what you work on and as the role evolves over time.Agent Assistance- Receive & Organize Marketing Requests from Agents- Track Tasks & Communicate with Marketing team & Agents on Status- Prepare print materials and signs for open houses- Submit Orders to Printers & Communicate & Track DeadlinesGraphic Design & Branding- Managing brand strategy and messaging through website, social media, videos, online advertising, print placement and events- Receive, organize, and prioritize marketing requests from agents- Fulfill agent design requests including postcards, signs, email marketing and property brochures using pre-existing templates and creating custom designs- Maintain brand assets and generic filesEvents & Community- Plan and execute events and promotions- Manage Contacts & Vendors for Event Planning & SponsorshipsOur company is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status.Job Type: Full-time
Pay: $18-20/hour
Expected hours: 35 – 45 per week
Benefits:Paid time offSchedule:8 hour shiftMonday to FridayExperience:Marketing: 1 year (Preferred)Graphic design: 2 years (Preferred)Work Location: In person
","Requirements: 

We are seeking a College or Graduate Student (can also be completed with school) with a focus in Planning, Architecture, Real Estate Development or Management or General Business. Must be able to work in an extremely fast paced environment and able to multitask and prioritize.",Corcoran Sawyer Smith,"Princeton, NJ",17.0,20.0,Full-time,,,2
Economic Development and Planning Intern,"Job summary:The Economic Development & Planning Intern will provide valuable support to the Economic Development & Planning team, with a specific focus on urban planning and transportation initiatives during the upcoming summer semester. This role is ideal for a local graduate or undergraduate student with a keen interest in economic development, city planning, and a passion for contributing to the growth of a vibrant downtown community.
Responsibilities/Essential Functions:Support the Planning & Transportation Manager and DRA Economic Development &Planning team in major planning and advocacy initiatives, such as the ongoing Downtown Economic Development Strategy.Assist in coordination efforts related to transportation planning and major downtownprojects such Raleigh’s first Bus Rapid Transit line.Contribute to the creation of reports, including the annual State of Downtown andquarterly market reports.Assist in data collection, analysis, and maintenance of downtown data.Support small business and retail recruitment programs.Participate in stakeholder meetings and community engagement efforts.
Qualifications:Currently enrolled in a graduate or undergraduate program with a focus on urbanplanning, economics, business, research, public administration, geography,sustainability, or related field.Strong interest in economic development, city planning, and community revitalization.Excellent analytical and research skills, with a keen eye for detail.Proficiency in Microsoft Office Suite and data analysis tools.Effective communication skills, both written and verbal.
Benefits:Gain hands-on experience in economic development and city planning.Work closely with a dynamic and experienced team of economic development andplanning professionals.Networking opportunities with local stakeholders and professionals.Compensation for your contributions
Physical Requirements:Prolonged periods sitting at a desk and working on a computer.Must be able to lift up to 15 pounds at times.Must be able to access various departments of a given location.
Position Environment: This is an in-person role, with the candidate reporting to the Downtown Raleigh Alliance offices at 333 Fayetteville Street, Suite 1150, Raleigh NC. Office space will be provided onsite at DRA and the intern may also be in the field providing support to our Downtown Raleigh community. DRA will provide parking for regular or required on-site work. DRA will also provide the option of transit passes for regular or on-site work. Travel outside of periodic travel to and from Downtown Raleigh and the DRA office will not be required of this position.
Other duties:Please note this job description is not designed to cover or contain a comprehensive listing of activities, duties or responsibilities that are required of the employee for this job. Duties, responsibilities and activities may change at any time with or without notice.
Compensation:This position is a temporary, part-time position, at approximately 12 to 20 hours a week and limited to a maximum 14-week term, aligned with the summer university calendar. Anticipated pay range is $14 - $20 an hour commensurate with qualifications and prior experience. This position is non-exempt and not eligible for benefits at DRA.
How to Apply:Please submit your resume and cover letter highlighting your interest in economic development and planning to marysell@downtownraleigh.org. Applications will be accepted until Monday, May 6th. Interviews will be scheduled on a rolling basis.
EEO statement: We are an equal employment opportunity employer and do not discriminate against any person because of race, color, creed, religion, national origin, political affiliation, sex, gender identity or expression, sexual orientation, age, disability, genetic information, or other reasons prohibited by law (referred to as ""protected status""). This nondiscrimination and opportunity policy extends to employment, use of all company facilities, membership, board service and leadership, volunteerism, participation in any of the organizations programs or services and all employment actions such as promotions, compensation, benefits and termination of employment.",,Downtown Raleigh Alliance,"Raleigh, NC",14.0,20.0,Internship,,,4
Producer,"Company DescriptionRaw Cereal is a creative design agency specializing in live, interactive, corporate, and installation-based entertainment. Our mission is to push boundaries and create unique and immersive experiences for our clients. We pride ourselves on our end-to-end creative services and cutting-edge use of technology for larger-than-life productions.
Role DescriptionWe're looking for Directors, Producers, Creatives, AI Programmers, 3D Artists, Senior Motion Graphics Artists, Editors, etc. 
If you think you have something to add, please reach out. 
Jobs@rawcereal.com",,Raw Cereal,United States,60000.0,300000.0,Contract,1.0,,1
Inside Customer Service Associate,"Glastender Inc. is a family-owned manufacturer of commercial bar and restaurant equipment, known for its high-quality products and innovative solutions. With a strong commitment to the customer experience, Glastender has been serving the industry for over 50 years, providing establishments with state-of-the-art equipment and exceptional service.We are currently looking for an Inside Customer Service Associate who can communicate with outside customers by providing exceptional customer service by addressing their concerns and resolving issues promptly (inquiries, orders, and product information via phone and email). Qualified candidates would be able to perform and possess the following skills:Design bar equipment layouts using the best application of Glastender products.Compile and submit quotations, perform order verification, order entry, and complete detailed shop drawings for use in production.Strong communication and organizational skills and demonstrated attention to detailStay updated on product knowledge and industry trends to effectively assist customers.Maintain customer records and update the computer systems with relevant information.Strong computer experience, with word processing and spreadsheet software (AutoCad software experience preferred). Able to multi-task and navigate different software programs efficiently.Experience in a business sales setting and/or college courses in business and marketing preferredPrevious customer service experience requiredIf you are excited about providing exceptional customer service and thrive in a collaborative team environment, we want to hear from you. You will play a pivotal role in supporting our sales team and ensuring a seamless experience for our customers. This position is perfect for individuals with a passion for customer service and a great approach to sales support.Join Glastender Inc. and be a part of an industry leader committed to excellence in every aspect of our business.","The Production Supervisor must possess strong leadership skills with a demonstrated ability to organize a team and its production processes to meet specific targets. A college degree and/or five to seven years related work experience is required. Knowledge of lean manufacturing concepts is also required. This person should also posses excellent communication and organizational skills. Computer competency is necessary, as well as good presentation and training skills.","Glastender, Inc.","Saginaw, MI",,,Full-time,,,1
"Content Writer, Communications","Application opening date: April 24, 2024
Title: Content WriterClassification: ExemptBand Description: SpecialistSupervisor: Director of Communications
Position SummaryThe Content Writer develops and disseminates impactful written content for United Methodists of EPA and GNJ, supporting our mission to recruit and equip transformational spiritual leaders to make disciples and grow vital congregations to transform the world. This is a highly collaborative role in the EPA&GNJ Communications Team.
www.gnjumc.orgwww.epaumc.org
Essential FunctionsCraft and manage engaging content across various channels, aligning with EPA&GNJ’s objectives.Maintain EPA&GNJ editorial calendar.Direct the production of the quarterly “NEWSpirit” newspaper, coordinating content, design, publication, distribution, and budget to uphold high production values and fiscal responsibility.Manage, curate, and track the weekly “Digest” e-newsletter.Regularly write editorial features that highlight local church ministries and conference initiatives.Revising others written content to ensure all-around consistency (style, fonts, images and tone)Compile and produce publications like the AC Pre-Conference Workbooks and the AC Journal.Balance and weigh written and visual content to reflect diversity, intercultural competency, and theological differences within our conferences.
Organizational ResponsibilitiesRelated communications duties such as social media assistance, photography, and representing communications team on project teams.Serve as a participant or as a project manager for projects as assigned.Assist in EPA & GNJ meetings and events.
Core CompetenciesCommitted to continuously grow in intercultural competenceBuild and maintain relationships that are rooted in honesty, integrity and honoring confidentialityWork collaboratively with others to produce innovative solutionsNetworking and initiativeMeet deadlinesAbility to convert ideas into stories, linking EPA&GNJ’s mission to action
QualificationsPortfolio of published articles (electronic and print)Excellent writing and editing skills in EnglishEvidence of collaboration with clients and within an office environmentHands-on experience with MailChimp, WordPress, SEO tools, Microsoft Suite, and social mediaFamiliarity with web publicationsPhotography skills preferred
EducationBachelor’s degree in journalism, communications, or public relations
TravelThe position requires some evening and weekend responsibilities and some travel beyond the office. The position works in a hybrid model from the EPA office in Norristown, PA and GNJ office in Neptune, NJ.
EPA & GNJ employees through their work help fulfill our mission: recruit and develop transformational leaders to make disciples and grow vital congregations to transform the world. EPA & GNJ values as an organization and in its employeesinnovation and risk takingexcellence in its ministry and servicecompassionate and just servicediversitycollaborationUnited Methodists of Eastern Pennsylvania and Greater New Jersey view all employees as leaders who are critical to the mission, capable of growth and valued.
Inquiries and resumes to be sent to jkim@gnjumc.org until position is filled.
Download the full Job Description: Content Writer-2024",,United Methodists of Greater New Jersey,Greater Philadelphia,,,Full-time,,,1
Controller,"WORK @ SWShannon Waltchack (SW) is seeking a Commercial Property Manager to manage a portion of its commercial real estate portfolio. ABOUT SWAt SW, We Help People - our clients, investors and tenants - maximize value, build wealth, see the future, cultivate relationships, and make great real estate decisions. Our experienced team is rooted in our core values: Gratitude, Integrity, Drive & Innovation. We started our property management department to enhance and protect our own properties. Realizing our own success and knowing others could benefit from it, we expanded this service to include our clients and we now manage over 125 properties throughout the United States. ABOUT THE POSITIONReporting to the VP Finance & Administration (VP), the Controller will help oversee the responsibilities of the Accounting Department, specifically, the accounting operations of the real estate portfolio of Shannon Waltchack affiliates and Third-Party Owners managed by Shannon Waltchack. The Controller should relieve the VP of certain responsibilities and provide general oversight of accounting items including Accounts Receivable, Accounts Payable, reconciliations, property financials and other Property Accounting functions. The Controller will supervise staff as determined by the VP. Essential Responsibilities include, but are not limited to:· Develop, document, and implement internal controls· Lead, manage and hold accountable direct reports· Prepare, review, adjust and post Journal Entries· Treasury management, lender and bank reconciliations· Oversee Charge and Receipts for properties· Manage Check Run and ACH Payments· Prepare and approve Wires· Oversee financial statement reporting, accruals, and adjustments for properties· Compile quarterly asset management report and make investor distributions· Oversee 1099 Preparation and distribution· Oversee OPEX reconciliations· Oversee Property Contract administration and Vendor compliance· Various activities needed to support the VP, President, Partners and Investors PREFERRED QUALIFICATIONSBachelor’s degree in accounting or related discipline is preferredCertified Public Accounting (CPA) DesignationMinimum 5 years experience in real estate accountingAbility to comprehend, analyze, and interpret real estate terms, principals, and documentsHigh degree of initiative, self-direction, and attention to detailExcellent written and oral communication skillsStrong organizational and analytical skillsMust be proactive, responsive and resourcefulAbility to multi-task and work well under pressure requiredDemonstrated knowledge of Microsoft Office 365Yardi Property Management Software
","Strong interpersonal communication skills and strong organizational skills are a must. Must be proficient in Microsoft Word, Excel and have excellent computer skills.",Shannon Waltchack,"Birmingham, AL",,,Full-time,,,4
Physician Assistant,"We are seeking a qualified Physician Assistant or Nurse Practitioner with a minimum of 1-2 years of practical experience in primary care settings. The ideal candidate will join our team in the vibrant Chamblee/Atlanta area. This position offers flexible employment options, including both part-time and full-time opportunities.
Benefits include vacation time, participation in a 401k retirement plan, and comprehensive health insurance coverage. Our clinic operates during standard business hours from 8:30 AM to 5:30 PM, Monday through Friday, with additional hours every other Saturday from 9 AM to 2 PM which can be optional. There is no on-call duty required for this position.
Compensation will be commensurate with experience. If you are a dedicated Primary Care Provider looking to join a dynamic team in the Chamblee/Atlanta area, we encourage you to apply.",,Premier Family Clinic,"Atlanta, GA",,,Contract,,,1
Licensed Acupuncturist,"Why Work Here?“We’re a growing holistic health clinic with a passionate, dedicated team of supportive, down-to-earth & spiritually-minded humans.” Read our story. Position Description:Tamara TCM Acupuncture & Herbs, the leading Traditional Chinese Medicine (TCM) center in Northwest Ohio, is excited to invite applications for a dedicated, full-time Ohio Licensed Acupuncturist. As a recognized provider of holistic healthcare, we are on the lookout for a passionate practitioner who aligns with our belief in the power of TCM.As an integral part of our diverse and inclusive team, you will contribute to our comprehensive TCM services, including Acupuncture and Herbal remedies. Your role will be pivotal in our serene, supportive environment, where each team member’s contributions are recognized and celebrated.Key Responsibilities:– Conduct acupuncture consultations and administer treatments.– Develop and implement individualized treatment plans based on patient needs.– Maintain detailed patient records.– Educate patients about holistic health, preventive care, and lifestyle adjustments consistent with TCM principles.– Adhere to all professional, ethical, and legal regulations as mandated by the relevant regulatory bodies.Qualifications:– Current Acupuncture License in the state of Ohio.– Degree in Acupuncture or Traditional Chinese Medicine from an accredited institution.– Experience in a clinical setting.– Deep knowledge and understanding of TCM principles and techniques.– Excellent communication skills and commitment to exceptional customer service. Preferred Skills:– Cupping, E-Stim, Moxa, Guasha– Proven ability to work effectively within a team-oriented environment.– Strong multitasking and time management skills.– A compassionate and empathetic approach toward patients.– Comfortable with retail responsibilities and flexible availability.– Experience with iContact or other email marketing software is a plus.
What We Offer:– A serene, supportive work environment fostering professional growth.– Competitive compensation package.– Discounts on acupuncture and holistic treatments.Our ideal candidate isn’t just a licensed acupuncturist; they’re a passionate advocate for holistic healthcare and align with our mission to enhance the wellness of our community.If you’re a motivated professional with a strong belief in the power of TCM, we invite you to submit your resume and a cover letter detailing why you’d be an ideal fit for our team.We are in search of the exceptional! Join us and play a key role in the TCM revolution in Northwest Ohio.About Tamara TCM Wellness Clinic:The mission of Tamara TCM is to provide high-quality natural medicine with integrity that is safe and effective. We are committed to serving our community with compassionate care and providing education to empower and inspire people to reach their greatest potential. To apply please email your resume to operations@tamaratcm.com or call us: 419-345-4996",,,"Maumee, OH",,,Full-time,,,1
Software Engineer,"Job Description:GOYT is seeking a skilled and motivated Remote Software Developer specializing in PHP to join our dynamic team. As a key member of our development team, you will play a crucial role in iterating and enhancing our product to drive the growth of our company.
This is an equity-based role. 
Responsibilities:Develop and maintain high-quality PHP code for our web-based application.Collaborate with the development team to design and implement new features and enhancements.Troubleshoot and debug issues to ensure optimal performance and reliability.Contribute to the technical roadmap and decision-making process to support the company's growth objectives.Stay updated on industry trends and best practices to continuously improve our product.
Requirements:Expertise in PHP development with a strong understanding of object-oriented programming principles.Experience with e-commerce platforms or projects is preferred.Proficiency in front-end technologies such as HTML, CSS, and JavaScript.Familiarity with MySQL or other relational databases.Ability to work independently and as part of a remote team.Excellent communication and collaboration skills.Passion for learning and staying updated on emerging technologies.
Benefits:Opportunity to join a fast-growing startup and contribute to its success.Equity-based compensation package.Flexible remote work arrangement.Collaborative and supportive work environment.Potential for professional growth and advancement within the company.
If you are a talented PHP developer with a passion for innovation and growth, we want to hear from you! Please submit your resume and portfolio showcasing your relevant experience to: business@goyt.com",,GOYT,"Denver, CO",,,Part-time,,,49
Marketing & Office Coordinator,"About Revesco Properties:Revesco Properties is a boutique commercial real estate investment, development, and management firm headquartered in Denver, CO. Revesco operates under three primary business units: Revesco Properties, Revesco Properties Trust and Elitch Gardens/The River Mile Development. Revesco Properties specializes in finding unique, urban-infill development sites in Denver to build projects that are accretive to the neighborhoods by utilizing interesting architectural elements and adding amenities such as retail. Revesco Properties Trust is a real estate investment trust that is focused on raising Canadian equity to acquire ownership in open-air shopping centers and mixed-use properties in select U.S. markets. And, The River Mile is a 62-acre urban-infill redevelopment at scale in the heart of downtown Denver in the current location of Elitch Gardens, along the banks of the South Platte River.
Position Summary: Revesco Properties is looking for an experienced and versatile Marketing and Office Coordinator who is eager to excel in all aspects of the job. The ideal candidate has experience in developing, creating, and executing marketing campaigns while managing a variety of other tasks in an office environment. The coordinator should be equally proficient with day-to-day marketing activities and long-term strategizing and strive under tight deadlines to meet the company's changing needs. The coordinator has a no-task-is-too-small, team-player attitude who is an expert at creative problem-solving. 
Marketing Responsibilities:
Marketing Strategies: Formulate and execute marketing plans and strategies aligned with the company's objectives and target audience. Brand Management: Maintain and enhance the company's brand image. Ensure brand consistency across all marketing channels and campaigns.Campaign Planning and Execution: Plan, coordinate, and execute marketing campaigns across various channels such as digital, print, social media, and events.Content Strategy: Develop content strategies for different marketing channels, including website, social media, email marketing, and advertising.Sales Collateral: Create and maintain sales collateral such as brochures, product sheets, presentations, etc. to support the Business Development team and drive customer engagement.Marketing Event Management: Collaborate with non-profit partners to plan and coordinate various events and volunteer opportunities.Analytics and Reporting: Track and analyze marketing performance metrics. Measure the effectiveness of marketing campaigns and initiatives to build successful strategies.Marketing Calendar: Maintain and update the marketing calendar, ensuring alignment with business objectives, monitoring deadlines, and communicating updates to VP of Ops and Strategy.CRM Software: Updating, maintaining and utilizing customer relationship management software (currently HubSpot) for marketing initiatives.
Office Responsibilities:
Event Planning: Assist in planning and organizing office events, and meetings. Coordinate logistics, such as venue booking, catering, and attendee arrangements.Office Management: Maintain office supplies inventory, order supplies as needed, and ensure office equipment is in working order. Coordinate with vendors and service providers for office maintenance and repairs.Continuous Improvement: Identify opportunities for process improvements and efficiency enhancements in office operations. Implement best practices and streamline workflows to optimize productivity.Ad Hoc Support: Provide additional support and assistance to employees and management as needed, demonstrating flexibility and adaptability in fulfilling job duties.
Qualifications: Bachelor’s degree in marketing, business, or related field.Minimum of two years of marketing/office coordinator experience. Equivalent education and experience may be substituted.Proficient in Adobe Creative Suite (InDesign, Illustrator, and Acrobat).Ability to work collaboratively with cross-functional teams.Advanced knowledge of Microsoft Office Suite.Strong organizational skills to manage multiple projects simultaneously, prioritize tasks, and meet deadlines.Creative thinking ability to develop engaging marketing campaigns and content that resonate with target audiences.Excellent business writing, editing and proofreading skills. Must communicate professionally, both orally and in writing.Experience using customer relationship management software, preferably HubSpot.Professional effectiveness and credibility.Notary certified or willingness to become certified. 
Work Environment and Physical Demands:This job operates in a professional office environment in the fun and upbeat LoHi neighborhood with Little Owl Coffee in the building. Participate in team events such as an annual summer boat day, ski trip, volunteer events, and weekly breakfast club! This role routinely uses standard office equipment such as computers, phones, photocopiers, filing cabinets, and scanners. Some travel may be required.
Compensation:$55,000-$75,000/year 
",,Revesco Properties,"Denver, CO",55000.0,75000.0,Full-time,,,1
